region,name,address,city,state,zip,country,phone,website,latitude,longitude,Status,CenterType
Region 1,Sri Sathya Sai Center of Greater Hartford,50 Bloomfield Ave,Hartford,CT,6105,US,1234567890,http://www.nesaicenters.org/,41.7885,-72.71374,Active,Center
Region 1,Sri Sathya Sai Center of Glastonbury,NA,Glastonbury,CT,6025,US,1234567890,http://www.nesaicenters.org/,41.70703,-72.56713,Active,Center
Region 1,Sri Sathya Sai Center of Norwalk,435 Rowayton Ave,Norwalk,CT,6854,US,1234567890,http://www.nesaicenters.org/,41.06048,-73.44524,Inactive,Center
Region 1,Sri Sathya Sai Center of Shelton,2 Brook Pine Drive,Shelton,CT,6484,US,1234567890,http://www.nesaicenters.org/,41.3134,-73.13225,Inactive,Center
Region 1,Sri Sathya Sai Center of Stamford,83 Lockwood Ave.,Stamford,CT,6902,US,1234567890,http://www.nesaicenters.org/,41.0525,-73.52087,Active,Center
Region 1,Sri Sathya Sai Group of Newtown,8 Fairchild Dr,Newtown,CT,6470,US,1234567890,http://www.nesaicenters.org/,41.40558,-73.35679,Inactive,Group
Region 1,Sri Sathya Sai Group of North Haven,288 Spring Street,North Haven,CT,6540,US,1234567890,http://www.nesaicenters.org/,44.04534,-77.74026,Inactive,Group
Region 1,Sri Sathya Sai Group of Southeastern CT,NA,Old Saybrook,CT,6475,US,1234567890,http://www.nesaicenters.org,41.28751,-72.38505,Active,Group
Region 1,Sri Sathya Sai Center of Boston,6 William Street,Somerville,MA,2144,US,1234567890,http://www.nesaicenters.org/,43.10135,-82.11407,Active,Center
Region 1,Sri Sathya Sai Center of Chelmsford MA,Central Congregational Church 1 Worthen St,Chelmsford,MA,1824,US,1234567890,http://www.nesaicenters.org/,42.59908,-71.35512,Active,Center
Region 1,Sri Sathya Sai Center of Northborough,40 Church Street,Northborough,MA,1532,US,1234567890,http://www.nesaicenters.org/,52.65587,-0.29015,Active,Center
Region 1,Sri Sathya Sai Center of Norwood,150 Chapel St,Norwood,MA,2062,US,1234567890,http://www.nesaicenters.org/,42.18336,-71.21318,Active,Center
Region 1,Sri Sathya Sai Group of Amherst,21 Woodlot Road,Amherst,MA,1002,US,1234567890,http://www.nesaicenters.org/,42.35224,-72.49063,Active,Group
Region 1,Sri Sathya Sai Center of Scarborough,34 Fowler Farm Road,Scarborough,ME,4074,US,1234567890,http://www.nesaicenters.org/,-31.90162,115.76588,Inactive,Center
Region 1,Sri Sathya Sai Center of Albany,108 Heartland Drive,Schenectady,NY,12301,US,1234567890,http://www.nesaicenters.org/,42.74383,-73.94163,Active,Center
Region 1,Sri Sathya Sai Center of Buffalo,1595 N.French Rd,Getzville,NY,14068,US,1234567890,http://www.nesaicenters.org/,43.03478,-78.76781,Active,Center
Region 1,Sri Sathya Sai Center of Rochester,1400 N. Winton Road,Rochester,NY,14609,US,1234567890,http://www.nesaicenters.org/,43.17281,-77.54055,Active,Center
Region 1,Sri Sathya Sai Center of Scarsdale,130 River Court,White Plains,NY,10603,US,1234567890,http://www.nesaicenters.org/,41.02992,-73.76689,Inactive,Center
Region 1,Sri Sathya Sai Center of Syracuse,7599 Morgan Road,Liverpool,NY,13090,US,1234567890,http://www.nesaicenters.org/,43.1355,-76.20627,Inactive,Center
Region 1,Sri Sathya Sai Center of Wappinger Falls,59 Saddle Ridge Dr,Hopewell Junction,NY,12590,US,1234567890,http://www.nesaicenters.org/,41.57047,-73.79198,Active,Center
Region 1,Sri Sathya Sai Group of Ithaca,319 North Tioga Street,Ithaca,NY,14850,US,1234567890,http://www.nesaicenters.org/,44.04575,-77.74055,Active,Group
Region 1,Sri Sathya Sai Group of Cumberland,25 Apple Ridge Rd,Cumberland,RI,2864,US,1234567890,http://www.nesaicenters.org/,41.95056,-71.38529,Active,Group
Region 1,Sri Sathya Sai Center of Burlington,30 Jackson Heights,Essex Junction,VT,5452,US,1234567890,http://www.nesaicenters.org/,44.50508,-73.1278,Active,Center
Region 10,Sri Sathya Sai Center of Little Rock,2 Talais Dr,Little Rock,AR,72223,US,1234567890,https://sairegion10.org/,34.781934,-92.462617,Active,Center
Region 10,Sri Sathya Sai Group of New Orleans,NA,New Orleans,LA,70124,US,1234567890,https://sairegion10.org/,29.959599,-89.997669,Active,Group
Region 10,Sri Sathya Sai Center of Oklahoma City,7200 N Coltrane Rd,Oklahoma City,OK,73083,US,1234567890,https://sairegion10.org/,35.5446,-97.441735,Active,Center
Region 10,Sri Sathya Sai Group of Tulsa,8523 South 70th Ave,Tulsa,OK,74133,US,1234567890,https://sairegion10.org/,36.040399,-95.898058,Active,Group
Region 10,Sri Sathya Sai Center of El Paso,801 N. El Paso Street Ste 150,El Paso,TX,79902,US,1234567890,https://sairegion10.org/,31.762193,-106.49312,Active,Center
Region 10,Sri Sathya Sai Center of Austin,4110 Guadalupe St,Austin,TX,78751,US,1234567890,https://sairegion10.org/,30.307009,-97.735531,Active,Center
Region 10,Sri Sathya Sai Center of Dallas,2875 E. Parker Road,Plano,TX,75074,US,1234567890,https://sairegion10.org/,33.044987,-96.674451,Active,Center
Region 10,Sri Sathya Sai Center of Long View,1205 Windsong Lane,Long View,TX,75604,US,1234567890,https://sairegion10.org/,32.526261,-94.773003,Active,Center
Region 10,Sri Sathya Sai Center of North Houston,Lakewood Montessori School 12127 Malcomson Rd,Houston,TX,77070,US,1234567890,https://sairegion10.org/,29.995968,-95.605731,Active,Center
Region 10,Sri Sathya Sai Center of San Antonio,6387 De Zavala Road,San Antonio,TX,78249,US,1234567890,https://sairegion10.org/,29.56352665,-98.61193133,Active,Center
Region 10,Sri Sathya Sai Center of South Houston,246 Fluor Daniel Drive,Sugar Land,TX,77479,US,1234567890,https://sairegion10.org/,29.600232,-95.632693,Active,Center
Region 10,Sri Sathya Sai Group of Rio Grande,613 East Ridgeland Ave,Mcallen,TX,78503,US,1234567890,https://sairegion10.org/,26.171863,-98.218415,Inactive,Group
Region 10,Sri Sathya Sai Group of Beaumont,NA,Beaumont,TX,77701,US,1234567890,https://sairegion10.org/,0,0,Active,Group
Region 10,Sri Sathya Sai Center of Irving,8635 Lohr Valley Road,Irving,TX,75063,US,1234567890,https://sairegion10.org/,0,0,Active,Center
Region 10,Sri Sathya Sai Group of Northwest Arkansas,2402 SW Cadwell Avenue,Bentonville,AR,72713,US,1234567890,https://sairegion10.org/,0,0,Active,Group
Region 2,Sri Sathya Sai Center of Hockessin,NA,Hockessin,DE,19707,US,1234567890,http://www.sairegion2usa.org/,39.78384,-75.6816,Inactive,Center
Region 2,Sri Sathya Sai Center of Baltimore,Owen Brown Village Center 7246 Cradlerock Way,Columbia,MD,21045,US,1234567890,http://www.sairegion2usa.org/,39.186733,-76.8425,Inactive,Center
Region 2,Sri Sathya Sai Center of South Bethesda,NA,Bethesda,MD,20810,US,1234567890,http://www.sairegion2usa.org/,38.98,-77.1,Inactive,Center
Region 2,Sri Sathya Sai Group of Capital Area,NA,Bethesda,MD,20810,US,1234567890,http://www.sairegion2usa.org/,0,0,Active,Group
Region 2,Sri Sathya Sai Group of Central Jersey,NA,Hillsborough,NJ,8844,US,1234567890,http://www.sairegion2usa.org/,0,0,Active,Group
Region 2,Sri Sathya Sai Group of Washington D.C.,4217 East-West Hwy,Bethesda,MD,20814,US,1234567890,http://www.sairegion2usa.org/,38.986722,-77.085811,Active,Group
Region 2,Sri Sathya Sai Center of Atlantic City,20 Wexford Lane,Linwood,NJ,8221,US,1234567890,http://www.sairegion2usa.org/,39.361801,-74.573369,Active,Center
